trial_id,plot_id,rep,crop,variety,yield_part,yield,yield_moisture,yield_isfresh,dataset_id,record_id,on_farm,is_survey,country,location,longitude,latitude,geo_from_source,planting_date,harvest_date,N_fertilizer,P_fertilizer,K_fertilizer,irrigated
Allato_Mother,1,1,potato,CIP399048.39,tubers,19.098039,,TRUE,doi_10.21223_P3_QJ10B7,1,TRUE,FALSE,Peru,Allato,,,FALSE,,,,,,
Allato_Mother,2,1,potato,CIP399079.27,tubers,21.216667,,TRUE,doi_10.21223_P3_QJ10B7,2,TRUE,FALSE,Peru,Allato,,,FALSE,,,,,,
Allato_Mother,3,1,potato,Peruanita,tubers,6.031746,,TRUE,doi_10.21223_P3_QJ10B7,3,TRUE,FALSE,Peru,Allato,,,FALSE,,,,,,
Allato_Mother,4,2,potato,CIP399048.39,tubers,21.855967,,TRUE,doi_10.21223_P3_QJ10B7,4,TRUE,FALSE,Peru,Allato,,,FALSE,,,,,,
Allato_Mother,5,2,potato,CIP399079.27,tubers,40.493976,,TRUE,doi_10.21223_P3_QJ10B7,5,TRUE,FALSE,Peru,Allato,,,FALSE,,,,,,
Allato_Mother,6,2,potato,Peruanita,tubers,5.725738,,TRUE,doi_10.21223_P3_QJ10B7,6,TRUE,FALSE,Peru,Allato,,,FALSE,,,,,,
Allato_Mother,7,3,potato,CIP399048.39,tubers,24.42803,,TRUE,doi_10.21223_P3_QJ10B7,7,TRUE,FALSE,Peru,Allato,,,FALSE,,,,,,
Allato_Mother,8,3,potato,CIP399079.27,tubers,50.506329,,TRUE,doi_10.21223_P3_QJ10B7,8,TRUE,FALSE,Peru,Allato,,,FALSE,,,,,,
Allato_Mother,9,3,potato,Peruanita,tubers,12.183908,,TRUE,doi_10.21223_P3_QJ10B7,9,TRUE,FALSE,Peru,Allato,,,FALSE,,,,,,
Chacapunco_Mother,1,1,potato,CIP399048.39,tubers,17.0206,,TRUE,doi_10.21223_P3_QJ10B7,10,TRUE,FALSE,Peru,Chacapunco,,,FALSE,,,,,,
Chacapunco_Mother,2,2,potato,CIP399048.39,tubers,37.84893,,TRUE,doi_10.21223_P3_QJ10B7,11,TRUE,FALSE,Peru,Chacapunco,,,FALSE,,,,,,
Chacapunco_Mother,3,3,potato,CIP399048.39,tubers,10.55008,,TRUE,doi_10.21223_P3_QJ10B7,12,TRUE,FALSE,Peru,Chacapunco,,,FALSE,,,,,,
Chacapunco_Mother,4,1,potato,CIP399079.27,tubers,22.47672,,TRUE,doi_10.21223_P3_QJ10B7,13,TRUE,FALSE,Peru,Chacapunco,,,FALSE,,,,,,
Chacapunco_Mother,5,2,potato,CIP399079.27,tubers,28.7625,,TRUE,doi_10.21223_P3_QJ10B7,14,TRUE,FALSE,Peru,Chacapunco,,,FALSE,,,,,,
Chacapunco_Mother,6,3,potato,CIP399079.27,tubers,33.63682,,TRUE,doi_10.21223_P3_QJ10B7,15,TRUE,FALSE,Peru,Chacapunco,,,FALSE,,,,,,
