PLOT	REP	INSTN	NTP	NPE	NPH	NMTP	MTWP	MTWPL	ATMW
1	1	CIP385524.9	40	40	38	539.00	42.00	1.11	77.92
2	2	CIP385524.9	40	40	31	344.00	27.00	0.87	78.49
3	3	CIP385524.9	40	35	37	528.00	37.00	1.00	70.08
4	4	CIP385524.9	40	38	40	668.00	42.00	1.05	62.87
5	1	CIP391391.96	40	40	23	123.00	10.00	0.43	81.30
6	2	CIP391391.96	40	31	28	113.00	12.00	0.43	106.19
7	3	CIP391391.96	40	34	40	191.00	14.00	0.35	73.30
8	4	CIP391391.96	40	22	39	253.00	17.00	0.44	67.19
9	1	CIP392617.54	40	20	30	172.00	24.00	0.80	139.53
10	2	CIP392617.54	40	34	30	145.00	20.00	0.67	137.93
11	3	CIP392617.54	40	19	31	155.00	21.00	0.68	135.48
12	4	CIP392617.54	40	20	34	149.00	18.00	0.53	120.81
13	1	CIP392657.8	40	29	30	172.00	16.00	0.53	93.02
14	2	CIP392657.8	40	36	29	172.00	21.00	0.72	122.09
15	3	CIP392657.8	40	38	38	179.00	25.00	0.66	139.66
16	4	CIP392657.8	40	15	31	174.00	20.00	0.65	114.94
17	1	CIP393371.58	40	5	32	191.00	18.00	0.56	94.24
18	2	CIP393371.58	40	8	35	213.00	28.00	0.80	131.46
19	3	CIP393371.58	40	38	27	129.00	16.00	0.59	124.03
20	4	CIP393371.58	40	0	33	191.00	18.00	0.55	94.24
21	1	CIP393385.39	40	36	35	281.00	23.00	0.66	81.85
22	2	CIP393385.39	40	32	36	423.00	36.00	1.00	85.11
23	3	CIP393385.39	40	32	38	386.00	35.00	0.92	90.67
24	4	CIP393385.39	40	39	35	387.00	39.00	1.11	100.78
25	1	Dutch	40	26	13	79.00	8.00	0.62	101.27
26	2	Dutch	40	27	28	193.00	19.00	0.68	98.45
27	3	Dutch	40	26	35	200.00	17.00	0.49	85.00
28	4	Dutch	40	16	27	173.00	15.00	0.56	86.71
29	1	CIP381381.13	40	40	29	241.00	14.00	0.48	58.09
30	2	CIP381381.13	40	31	39	395.00	30.00	0.77	75.95
31	3	CIP381381.13	40	36	31	229.00	22.00	0.71	96.07
32	4	CIP381381.13	40	35	40	376.00	23.00	0.58	61.17
