PLOT	REP	INSTN	NTP	NPE	PPE	NPH	PPH	NMTP	NMTPL	MTWP	MTWPL	MTYNA	MTYA	ATMW
1	1	CIP385524.9	40	38	95.00	40	100.00	401.00	10.03	19.00	0.48	17.59	17.59	47.38
2	2	CIP385524.9	40	40	100.00	40	100.00	378.00	9.45	23.00	0.58	21.30	21.30	60.85
3	3	CIP385524.9	40	39	97.50	39	97.50	450.00	11.54	31.00	0.79	28.70	29.44	68.89
4	4	CIP385524.9	40	40	100.00	40	100.00	425.00	10.63	26.00	0.65	24.07	24.07	61.18
5	1	CIP391391.96	40	39	97.50	40	100.00	241.00	6.03	13.00	0.33	12.04	12.04	53.94
6	2	CIP391391.96	40	40	100.00	40	100.00	261.00	6.53	15.00	0.38	13.89	13.89	57.47
7	3	CIP391391.96	40	40	100.00	40	100.00	257.00	6.43	25.00	0.63	23.15	23.15	97.28
8	4	CIP391391.96	40	40	100.00	39	97.50	239.00	6.13	17.00	0.44	15.74	16.14	71.13
9	1	CIP392617.54	40	40	100.00	40	100.00	143.00	3.58	9.00	0.23	8.33	8.33	62.94
10	2	CIP392617.54	40	40	100.00	40	100.00	181.00	4.53	14.00	0.35	12.96	12.96	77.35
11	3	CIP392617.54	40	40	100.00	40	100.00	163.00	4.08	21.00	0.53	19.44	19.44	128.83
12	4	CIP392617.54	40	40	100.00	39	97.50	150.00	3.85	14.00	0.36	12.96	13.30	93.33
13	1	CIP392657.8	40	22	55.00	36	90.00	183.00	5.08	17.00	0.47	15.74	17.49	92.90
14	2	CIP392657.8	40	40	100.00	40	100.00	216.00	5.40	25.00	0.63	23.15	23.15	115.74
15	3	CIP392657.8	40	26	65.00	40	100.00	205.00	5.13	32.00	0.80	29.63	29.63	156.10
16	4	CIP392657.8	40	19	47.50	40	100.00	208.00	5.20	25.00	0.63	23.15	23.15	120.19
17	1	CIP393371.58	40	40	100.00	40	100.00	429.00	10.73	27.00	0.68	25.00	25.00	62.94
18	2	CIP393371.58	40	39	97.50	40	100.00	277.00	6.93	21.00	0.53	19.44	19.44	75.81
19	3	CIP393371.58	40	32	80.00	35	87.50	283.00	8.09	30.00	0.86	27.78	31.75	106.01
20	4	CIP393371.58	40	39	97.50	31	77.50	421.00	13.58	20.00	0.65	18.52	23.89	47.51
21	1	CIP393385.39	40	40	100.00	40	100.00	391.00	9.78	22.00	0.55	20.37	20.37	56.27
22	2	CIP393385.39	40	40	100.00	40	100.00	377.00	9.43	22.00	0.55	20.37	20.37	58.36
23	3	CIP393385.39	40	39	97.50	40	100.00	433.00	10.83	32.00	0.80	29.63	29.63	73.90
24	4	CIP393385.39	40	39	97.50	39	97.50	514.00	13.18	24.00	0.62	22.22	22.79	46.69
25	1	Dutch	40	40	100.00	40	100.00	381.00	9.53	18.00	0.45	16.67	16.67	47.24
26	2	Dutch	40	40	100.00	40	100.00	306.00	7.65	20.00	0.50	18.52	18.52	65.36
27	3	Dutch	40	40	100.00	39	97.50	339.00	8.69	27.00	0.69	25.00	25.64	79.65
28	4	Dutch	40	40	100.00	39	97.50	514.00	13.18	24.00	0.62	22.22	22.79	46.69
29	1	CIP381381.13	40	40	100.00	39	97.50	348.00	8.92	17.00	0.44	15.74	16.14	48.85
30	2	CIP381381.13	40	40	100.00	40	100.00	528.00	13.20	30.00	0.75	27.78	27.78	56.82
31	3	CIP381381.13	40	40	100.00	40	100.00	370.00	9.25	31.00	0.78	28.70	28.70	83.78
32	4	CIP381381.13	40	38	95.00	37	92.50	392.00	10.59	25.00	0.68	23.15	25.03	63.78
