PLOT	REP	INSTN	NTP	NPE	PPE	NPH	PPH	NMTP	NMTPL	MTWP	MTWPL	MTYNA	MTYA	ATMW
1	1	CIP385524.9	40	39	97.50	33	82.50	551.00	16.70	54.00	1.64	50.00	60.61	98.00
2	2	CIP385524.9	40	40	100.00	37	92.50	649.00	17.54	54.00	1.46	50.00	54.05	83.20
3	3	CIP385524.9	40	39	97.50	39	97.50	653.00	16.74	54.00	1.38	50.00	51.28	82.70
4	4	CIP385524.9	40	40	100.00	38	95.00	559.00	14.71	46.00	1.21	42.59	44.83	82.29
5	1	CIP391391.96	40	39	97.50	5	12.50	59.00	11.80	4.00	0.80	3.70	29.63	67.80
6	2	CIP391391.96	40	40	100.00	0	0.00	0.00	#N/D	19.00	#¡DIV/0!	17.59	#¡DIV/0!	#¡DIV/0!
7	3	CIP391391.96	40	39	97.50	30	75.00	329.00	10.97	18.00	0.60	16.67	22.22	54.71
8	4	CIP391391.96	40	35	87.50	28	70.00	277.00	9.89	20.00	0.71	18.52	26.46	72.20
9	1	CIP392617.54	40	36	90.00	16	40.00	178.00	11.13	27.00	1.69	25.00	62.50	151.69
10	2	CIP392617.54	40	28	70.00	9	22.50	107.00	11.89	13.00	1.44	12.04	53.50	121.50
11	3	CIP392617.54	40	37	92.50	9	22.50	107.00	11.89	13.00	1.44	12.04	53.50	121.50
12	4	CIP392617.54	40	33	82.50	30	75.00	195.00	6.50	27.00	0.90	25.00	33.33	138.46
13	1	CIP392657.8	40	38	95.00	29	72.50	201.00	6.93	29.00	1.00	26.85	37.04	144.28
14	2	CIP392657.8	40	11	27.50	30	75.00	210.00	7.00	31.00	1.03	28.70	38.27	147.62
15	3	CIP392657.8	40	11	27.50	11	27.50	67.00	6.09	7.00	0.64	6.48	23.57	104.48
16	4	CIP392657.8	40	13	32.50	6	15.00	51.00	8.50	5.00	0.83	4.63	30.86	98.04
17	1	CIP393371.58	40	34	85.00	6	15.00	134.00	22.33	8.00	1.33	7.41	49.38	59.70
18	2	CIP393371.58	40	40	100.00	38	95.00	415.00	10.92	46.00	1.21	42.59	44.83	110.84
19	3	CIP393371.58	40	32	80.00	20	50.00	226.00	11.30	27.00	1.35	25.00	50.00	119.47
20	4	CIP393371.58	40	34	85.00	16	40.00	161.00	10.06	18.00	1.13	16.67	41.67	111.80
21	1	CIP393385.39	40	36	90.00	36	90.00	456.00	12.67	42.00	1.17	38.89	43.21	92.11
22	2	CIP393385.39	40	37	92.50	39	97.50	441.00	11.31	43.00	1.10	39.81	40.84	97.51
23	3	CIP393385.39	40	40	100.00	40	100.00	433.00	10.83	46.00	1.15	42.59	42.59	106.24
24	4	CIP393385.39	40	32	80.00	38	95.00	447.00	11.76	40.00	1.05	37.04	38.99	89.49
25	1	Dutch	40	40	100.00	30	75.00	0.00	0.00	25.00	0.83	23.15	30.86	#¡DIV/0!
26	2	Dutch	40	40	100.00	31	77.50	338.00	10.90	25.00	0.81	23.15	29.87	73.96
27	3	Dutch	40	39	97.50	30	75.00	0.00	0.00	25.00	0.83	23.15	30.86	#¡DIV/0!
28	4	Dutch	40	35	87.50	30	75.00	313.00	10.43	26.00	0.87	24.07	32.10	83.07
29	1	CIP381381.13	40	40	100.00	40	100.00	758.00	18.95	53.00	1.33	49.07	49.07	69.92
30	2	CIP381381.13	40	40	100.00	39	97.50	557.00	14.28	49.00	1.26	45.37	46.53	87.97
31	3	CIP381381.13	40	40	100.00	39	97.50	520.00	13.33	37.00	0.95	34.26	35.14	71.15
32	4	CIP381381.13	40	34	85.00	34	85.00	519.00	15.26	42.00	1.24	38.89	45.75	80.92
