PLOT	REP	INSTN	NTP	NPE	PPE	NPH	PPH	NMTP	NMTPL	MTWP	MTWPL	MTYNA	MTYA	ATMW
1	1	CIP385524.9	40	40	100.00	39	97.50	547.00	14.03	47.00	1.21	43.52	44.63	85.92
2	2	CIP385524.9	40	40	100.00	39	97.50	523.00	13.41	46.00	1.18	42.59	43.68	87.95
3	3	CIP385524.9	40	40	100.00	40	100.00	505.00	12.63	47.00	1.18	43.52	43.52	93.07
4	4	CIP385524.9	40	40	100.00	39	97.50	517.00	13.26	51.00	1.31	47.22	48.43	98.65
5	1	CIP391391.96	40	38	95.00	35	87.50	198.00	5.66	19.00	0.54	17.59	20.11	95.96
6	2	CIP391391.96	40	38	95.00	35	87.50	197.00	5.63	23.00	0.66	21.30	24.34	116.75
7	3	CIP391391.96	40	37	92.50	32	80.00	191.00	5.97	17.00	0.53	15.74	19.68	89.01
8	4	CIP391391.96	40	40	100.00	38	95.00	236.00	6.21	29.00	0.76	26.85	28.27	122.88
9	1	CIP392617.54	40	39	97.50	39	97.50	169.00	4.33	21.00	0.54	19.44	19.94	124.26
10	2	CIP392617.54	40	39	97.50	39	97.50	220.00	5.64	27.00	0.69	25.00	25.64	122.73
11	3	CIP392617.54	40	38	95.00	38	95.00	184.00	4.84	23.00	0.61	21.30	22.42	125.00
12	4	CIP392617.54	40	40	100.00	38	95.00	208.00	5.47	27.00	0.71	25.00	26.32	129.81
13	1	CIP392657.8	40	34	85.00	38	95.00	236.00	6.21	34.00	0.89	31.48	33.14	144.07
14	2	CIP392657.8	40	38	95.00	37	92.50	184.00	4.97	30.00	0.81	27.78	30.03	163.04
15	3	CIP392657.8	40	38	95.00	39	97.50	244.00	6.26	36.00	0.92	33.33	34.19	147.54
16	4	CIP392657.8	40	37	92.50	30	75.00	206.00	6.87	31.00	1.03	28.70	38.27	150.49
18	2	CIP393371.58	40	35	87.50	38	95.00	423.00	11.13	39.00	1.03	36.11	38.01	92.20
19	3	CIP393371.58	40	3	7.50	39	97.50	375.00	9.62	57.00	1.46	52.78	54.13	152.00
20	4	CIP393371.58	40	39	97.50	39	97.50	382.00	9.79	61.00	1.56	56.48	57.93	159.69
21	1	CIP393385.39	40	40	100.00	39	97.50	510.00	13.08	52.00	1.33	48.15	49.38	101.96
22	2	CIP393385.39	40	38	95.00	38	95.00	518.00	13.63	58.00	1.53	53.70	56.53	111.97
23	3	CIP393385.39	40	39	97.50	36	90.00	434.00	12.06	51.00	1.42	47.22	52.47	117.51
24	4	CIP393385.39	40	40	100.00	40	100.00	434.00	10.85	49.00	1.23	45.37	45.37	112.90
25	1	Dutch	40	40	100.00	35	87.50	338.00	9.66	25.00	0.71	23.15	26.46	73.96
26	2	Dutch	40	40	100.00	38	95.00	376.00	9.89	33.00	0.87	30.56	32.16	87.77
27	3	Dutch	40	38	95.00	38	95.00	378.00	9.95	31.00	0.82	28.70	30.21	82.01
28	4	Dutch	40	40	100.00	39	97.50	380.00	9.74	30.00	0.77	27.78	28.49	78.95
30	1	CIP381381.13	40	40	100.00	39	97.50	507.00	13.00	56.00	1.44	51.85	53.18	110.45
31	2	CIP381381.13	40	40	100.00	38	95.00	428.00	11.26	53.00	1.39	49.07	51.66	123.83
32	3	CIP381381.13	40	40	100.00	40	100.00	439.00	10.98	57.00	1.43	52.78	52.78	129.84
