PLOT	REP	INSTN	NTP	NPE	PPE	NPH	PPH	NMTP	NMTPL	MTWP	MTWPL	MTYNA	MTYA	ATMW
1	1	CIP385524.9	40	40	100.00	40	100.00	577.00	14.43	40.00	1.00	37.04	37.04	69.32
2	2	CIP385524.9	40	40	100.00	33	82.50	551.00	16.70	39.00	1.18	36.11	43.77	70.78
3	3	CIP385524.9	40	38	95.00	39	97.50	656.00	16.82	43.00	1.10	39.81	40.84	65.55
4	4	CIP385524.9	40	37	92.50	38	95.00	466.00	12.26	37.00	0.97	34.26	36.06	79.40
5	1	CIP391391.96	40	22	55.00	33	82.50	281.00	8.52	23.00	0.70	21.30	25.81	81.85
6	2	CIP391391.96	40	27	67.50	32	80.00	198.00	6.19	17.00	0.53	15.74	19.68	85.86
7	3	CIP391391.96	40	27	67.50	34	85.00	247.00	7.26	23.00	0.68	21.30	25.05	93.12
8	4	CIP391391.96	40	22	55.00	36	90.00	217.00	6.03	19.00	0.53	17.59	19.55	87.56
9	1	CIP392617.54	40	40	100.00	38	95.00	202.00	5.32	21.00	0.55	19.44	20.47	103.96
10	2	CIP392617.54	40	27	67.50	39	97.50	206.00	5.28	20.00	0.51	18.52	18.99	97.09
11	3	CIP392617.54	40	27	67.50	38	95.00	194.00	5.11	20.00	0.53	18.52	19.49	103.09
12	4	CIP392617.54	40	30	75.00	37	92.50	198.00	5.35	19.00	0.51	17.59	19.02	95.96
13	1	CIP392657.8	40	0	0.00	35	87.50	189.00	5.40	21.00	0.60	19.44	22.22	111.11
14	2	CIP392657.8	40	0	0.00	35	87.50	302.00	8.63	47.00	1.34	43.52	49.74	155.63
15	3	CIP392657.8	40	0	0.00	37	92.50	239.00	6.46	35.00	0.95	32.41	35.04	146.44
16	4	CIP392657.8	40	0	0.00	38	95.00	189.00	4.97	22.00	0.58	20.37	21.44	116.40
17	1	CIP393371.58	40	10	25.00	30	75.00	238.00	7.93	30.00	1.00	27.78	37.04	126.05
18	2	CIP393371.58	40	39	97.50	40	100.00	472.00	11.80	48.00	1.20	44.44	44.44	101.69
19	3	CIP393371.58	40	38	95.00	40	100.00	490.00	12.25	48.00	1.20	44.44	44.44	97.96
20	4	CIP393371.58	40	37	92.50	39	97.50	596.00	15.28	46.00	1.18	42.59	43.68	77.18
21	1	CIP393385.39	40	30	75.00	39	97.50	460.00	11.79	43.00	1.10	39.81	40.84	93.48
22	2	CIP393385.39	40	35	87.50	36	90.00	570.00	15.83	40.00	1.11	37.04	41.15	70.18
23	3	CIP393385.39	40	40	100.00	32	80.00	547.00	17.09	40.00	1.25	37.04	46.30	73.13
24	4	CIP393385.39	40	29	72.50	37	92.50	433.00	11.70	39.00	1.05	36.11	39.04	90.07
25	1	Dutch	40	29	72.50	37	92.50	453.00	12.24	28.00	0.76	25.93	28.03	61.81
26	2	Dutch	40	38	95.00	40	100.00	463.00	11.58	26.00	0.65	24.07	24.07	56.16
27	3	Dutch	40	38	95.00	37	92.50	525.00	14.19	36.00	0.97	33.33	36.04	68.57
28	4	Dutch	40	40	100.00	36	90.00	496.00	13.78	25.00	0.69	23.15	25.72	50.40
29	1	CIP381381.13	40	38	95.00	39	97.50	523.00	13.41	39.00	1.00	36.11	37.04	74.57
30	2	CIP381381.13	40	40	100.00	39	97.50	544.00	13.95	40.00	1.03	37.04	37.99	73.53
31	3	CIP381381.13	40	40	100.00	34	85.00	501.00	14.74	39.00	1.15	36.11	42.48	77.84
32	4	CIP381381.13	40	38	95.00	39	97.50	568.00	14.56	38.00	0.97	35.19	36.09	66.90
