"","id","persistentId","pidURL","filename","contentType","friendlyType","filesize","categories","storageIdentifier","rootDataFileId","md5","tabularData","creationDate","publicationDate","fileAccessRequest","restricted"
"1",9001,"doi:10.21223/FBZ6JS/GVQHXQ","https://doi.org/10.21223/FBZ6JS/GVQHXQ","01_Fieldbook_Baraka200910.txt","text/plain","Plain Text",1675,"Data","file://18ad1bfe697-e466b9ebd755",-1,"016481deba53572c2b765c090112ab50",FALSE,"2023-09-26","2023-09-26",FALSE,FALSE
"2",8996,"doi:10.21223/FBZ6JS/EDSZXD","https://doi.org/10.21223/FBZ6JS/EDSZXD","02_Fieldbook_Kibiricha200910.txt","text/plain","Plain Text",2674,"Data","file://18ad1bfe757-bdf2bf276095",-1,"2b9223ed084a32b0431f640787317f42",FALSE,"2023-09-26","2023-09-26",FALSE,FALSE
"3",9011,"doi:10.21223/FBZ6JS/T52SV9","https://doi.org/10.21223/FBZ6JS/T52SV9","03_Fieldbook_Kisima200910.txt","text/plain","Plain Text",2659,"Data","file://18ad1bfe838-0870ec0a0074",-1,"e1e50d7dca71f2022455d09304c186ae",FALSE,"2023-09-26","2023-09-26",FALSE,FALSE
"4",9014,"doi:10.21223/FBZ6JS/SN1YNT","https://doi.org/10.21223/FBZ6JS/SN1YNT","05_Fieldbook_Limuru200910.txt","text/plain","Plain Text",2505,"Data","file://18ad1bfe8fe-c9531055e748",-1,"27b3fe32cb36cde0cdeb05e1330838e8",FALSE,"2023-09-26","2023-09-26",FALSE,FALSE
"5",8992,"doi:10.21223/FBZ6JS/LT5E0C","https://doi.org/10.21223/FBZ6JS/LT5E0C","06_Fieldbook_Narok200910.txt","text/plain","Plain Text",2651,"Data","file://18ad1bfe9c4-e5a623d7a31b",-1,"a3da4a2b71a4063695f1b27de8535911",FALSE,"2023-09-26","2023-09-26",FALSE,FALSE
"6",9007,"doi:10.21223/FBZ6JS/LDQ04G","https://doi.org/10.21223/FBZ6JS/LDQ04G","Data_dictionary.txt","text/plain","Plain Text",1910,"Documentation","file://18ad1bfea9e-101857225f27",-1,"9c948766c037a5ca380bb96ac1a07e31",FALSE,"2023-09-26","2023-09-26",FALSE,FALSE
"7",9009,"doi:10.21223/FBZ6JS/KCNFSM","https://doi.org/10.21223/FBZ6JS/KCNFSM","Material_list.txt","text/plain","Plain Text",478,"Documentation","file://18ad1bfeb64-9595b890b8cb",-1,"9fb252e978c2ed866fe80487aa8a7d1e",FALSE,"2023-09-26","2023-09-26",FALSE,FALSE
"8",9005,"doi:10.21223/FBZ6JS/NWH4FA","https://doi.org/10.21223/FBZ6JS/NWH4FA","PTYL200910_BARAKA.xls","application/vnd.ms-excel","MS Excel Spreadsheet",46592,"Documentation","file://18ad1bff685-42051bdab046",-1,"6bc4714de37f1a18b7c2ce425e88bdeb",FALSE,"2023-09-26","2023-09-26",FALSE,FALSE
"9",9012,"doi:10.21223/FBZ6JS/LJEMXO","https://doi.org/10.21223/FBZ6JS/LJEMXO","PTYL200910_KIBRCH.xls","application/vnd.ms-excel","MS Excel Spreadsheet",94208,"Documentation","file://18ad1bff7e4-7581ac4615dd",-1,"bd56c1dbacaf52ebb827198e283a30d4",FALSE,"2023-09-26","2023-09-26",FALSE,FALSE
"10",8999,"doi:10.21223/FBZ6JS/PULA2W","https://doi.org/10.21223/FBZ6JS/PULA2W","PTYL200910_KISIMA.xls","application/vnd.ms-excel","MS Excel Spreadsheet",117760,"Documentation","file://18ad1bff941-0cc9a21b5126",-1,"b6e8941fb064fbdb1059ec147e92c9ff",FALSE,"2023-09-26","2023-09-26",FALSE,FALSE
"11",9000,"doi:10.21223/FBZ6JS/37JMCW","https://doi.org/10.21223/FBZ6JS/37JMCW","PTYL200910_LIMURU.xls","application/vnd.ms-excel","MS Excel Spreadsheet",94720,"Documentation","file://18ad1bffcfc-146a8a69cb8e",-1,"38609fd606323fd0e382db4cb3f6bdeb",FALSE,"2023-09-26","2023-09-26",FALSE,FALSE
"12",8998,"doi:10.21223/FBZ6JS/EZ86QL","https://doi.org/10.21223/FBZ6JS/EZ86QL","PTYL200910_NAROK.xls","application/vnd.ms-excel","MS Excel Spreadsheet",95232,"Documentation","file://18ad1bffee1-15e8a0f46706",-1,"a39a874e3b6199ab9c26a4d27c6e4aa0",FALSE,"2023-09-26","2023-09-26",FALSE,FALSE
